,Genome,Genus,Species
94,GCF_003382585.2,Pectobacterium,aquaticum
95,GCF_016949935.1,Pectobacterium,polaris
96,GCF_003628575.1,Pectobacterium,parmentieri
97,GCF_017161585.1,Dickeya,solani
98,GCF_003628595.1,Pectobacterium,parmentieri
99,GCF_000365405.2,Dickeya,dianthicola
100,GCF_002904225.1,Pectobacterium,carotovorum
101,GCF_000294535.1,Pectobacterium,brasiliense
102,GCF_001644705.1,Dickeya,solani
103,GCF_013449655.1,Pectobacterium,carotovorum
104,GCF_000365305.1,Dickeya,dianthicola
105,GCF_000406125.1,Dickeya,poaceiphila
106,GCF_002921235.2,Pectobacterium,carotovorum
107,GCF_016949525.1,Pectobacterium,brasiliense
108,GCF_000808415.1,Pectobacterium,polaris
109,GCF_003382595.2,Pectobacterium,aquaticum
110,GCF_013449395.1,Pectobacterium,carotovorum
111,GCF_000406325.1,Dickeya,zeae
112,GCF_004296675.1,Pectobacterium,carotovorum
113,GCF_000406065.1,Dickeya,chrysanthemi
114,GCF_014946825.1,Pectobacterium,aquaticum
115,GCF_003725575.1,Dickeya,undicola
116,GCF_000400795.1,Dickeya,solani
117,GCF_000389755.1,Pectobacterium,atrosepticum
118,GCF_014893095.1,Dickeya,dianthicola
119,GCF_016404945.1,Dickeya,solani
120,GCF_009931535.1,Pectobacterium,parmentieri
121,GCF_000365345.1,Dickeya,solani
122,GCF_002068115.1,Pectobacterium,brasiliense
123,GCF_012278555.1,Dickeya,zeae
124,GCF_016949195.1,Pectobacterium,brasiliense
125,GCF_003718335.1,Dickeya,solani
126,GCF_016404885.1,Dickeya,solani
127,GCF_002921295.1,Pectobacterium,carotovorum
128,GCF_001506125.1,Dickeya,solani
129,GCF_001742145.1,Pectobacterium,parmentieri
130,GCF_003312345.1,Pectobacterium,peruviense
131,GCF_016944275.1,Pectobacterium,brasiliense
132,GCF_002904255.1,Pectobacterium,carotovorum
133,GCF_003382645.2,Pectobacterium,aquaticum
134,GCF_016949655.1,Pectobacterium,brasiliense
135,GCF_000406225.1,Dickeya,oryzae
136,GCF_003600995.1,Dickeya,solani
137,GCF_016949955.1,Pectobacterium,carotovorum
138,GCF_000406185.1,Dickeya,dadantii
139,GCF_015709085.1,Pectobacterium,aroidearum
140,GCF_018361225.1,Dickeya,dianthicola
141,GCF_003628655.1,Pectobacterium,parmentieri
142,GCF_018361045.1,Dickeya,dianthicola
143,GCF_003992745.1,Pectobacterium,parmentieri
